Nathan29006781,38,1000047,503,"{'white': (255, 255, 255), 'yellow': (255, 0, 255), 'black': (10, 5, 0), 'red': (102, 228, 183), 'green': (70, 180, 70), 'blue': (50, 153, 213), 'brown': (80, 50, 35)}"
john,19,7962,6,"{'white': (255, 255, 255), 'yellow': (255, 255, 102), 'black': (10, 5, 0), 'red': (213, 50, 80), 'green': (70, 180, 70), 'blue': (50, 153, 213), 'brown': (80, 50, 35)}"
kegad,23,8209,8,"{'white': (255, 255, 255), 'yellow': (255, 255, 102), 'black': (10, 5, 0), 'red': (213, 50, 80), 'green': (70, 180, 70), 'blue': (50, 153, 213), 'brown': (80, 50, 35)}"
abeer,26,10925,11,"{'white': (255, 255, 255), 'yellow': (34, 139, 34), 'black': (30, 144, 255), 'red': (213, 50, 80), 'green': (196, 179, 3), 'blue': (0, 0, 0), 'brown': (80, 50, 35)}"
